"filename", "language", "JSON", "YAML", "JavaScript", "SCSS", "XML", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/account_circle-black-48dp.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/bookmark-black-48dp.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/dark-mode.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/file-add.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/folder-open-solid.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/folder.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/folder_open-black-48dp.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/menu.svg", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/options.svg", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/question-circle-regular.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/readme.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/save-regular.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/search.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 1, 1, 12
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/trash-empty.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/undo.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/user-solid.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/user.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/menu/menu.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 1, 5, 42
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/menu/menu.styles.scss", "SCSS", 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette-color/palette-color.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 2, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette-color/palette-color.styles.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette/palette-animate.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 9, 53
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette/palette.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 1, 9, 90
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/palette/palette.styles.scss", "SCSS", 0, 0, 0, 38, 0, 0, 0, 0, 7, 8, 53
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/rename-palette/rename-palette.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/rename-palette/rename-palette.styles.scss", "SCSS", 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/result-pane/result-pane.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/result-pane/result-pane.styles.scss", "SCSS", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/save-palette-popup/save-palette-popop.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 1, 10, 75
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/save-palette-popup/save-palette-popup.styles.scss", "SCSS", 0, 0, 0, 34, 0, 0, 0, 0, 1, 4, 39
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/saved-palettes/saved-palettes.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/saved-palettes/saved-palettes.styles.scss", "SCSS", 0, 0, 0, 57, 0, 0, 0, 0, 26, 21, 104
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/search-bar/search-bar.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/search-bar/search-bar.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/sign-in/sign-in.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 9, 90
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/sign-in/sign-in.styles.scss", "SCSS", 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/sign-up/sign-up.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 10, 108
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/sign-up/sign-up.styles.scss", "SCSS", 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/spinner/spinner.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/spinner/spinner.styles.scss", "SCSS", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 24
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/submit/submit.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/submit/submit.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/top-bar/search-bar-animate.css", "CSS", 0, 0, 0, 0, 0, 54, 0, 0, 0, 11, 65
