"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "CSS", "XML", "SCSS", "YAML", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/editor.icon.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/help.icon.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/open.icon.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/save.icon.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/search.icon.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/them.icon.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon-components/user.icon.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/icon.styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/account_circle-black-48dp.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/bookmark-black-48dp.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/dark-mode.svg", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 18
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/file-add.svg", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/folder-open-solid.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/folder.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/folder_open-black-48dp.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Volumes/Workspace/Web Dev/Tarot/TarotV3/src/components/icons/svg/menu.svg", "XML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
